model,step,epoch,train_loss,val_loss,val_ppl,lr,timestamp
bhojpuri_high,35850,3,8.0274,7.8391,2537.85,8.95e-05,2026-09-08T04:58:24.575821
bhojpuri_high,47800,4,7.8986,7.7684,2364.69,8.14e-05,2026-09-08T05:27:28.896363
bhojpuri_high,59750,5,7.8158,7.7126,2236.32,7.12e-05,2026-09-08T05:56:29.631382
bhojpuri_high,71700,6,7.761,7.6727,2148.96,5.92e-05,2026-09-08T06:25:33.392253
bhojpuri_high,83650,7,7.7155,7.6421,2084.11,4.58e-05,2026-09-08T06:54:31.089539
bhojpuri_high,95600,8,7.6855,7.622,2042.58,3.12e-05,2026-09-08T07:23:28.432120
bhojpuri_high,107550,9,7.6685,7.6117,2021.67,1.58e-05,2026-09-08T07:52:32.011126
bhojpuri_high,119500,10,7.661,7.6086,2015.37,6.12e-21,2026-09-08T08:21:32.749101
bhojpuri_high,131450,11,7.4917,7.3754,1596.18,6.52e-05,2026-09-09T05:56:55.099390
bhojpuri_high,143400,12,7.3792,7.286,1459.77,5.90e-05,2026-09-09T06:26:10.902971
bhojpuri_high,155350,13,7.3008,7.2336,1385.21,5.24e-05,2026-09-09T06:55:27.666900
bhojpuri_high,167300,14,7.262,7.2058,1347.29,4.56e-05,2026-09-09T07:24:47.718879
bhojpuri_high,179250,15,7.2224,7.1578,1284.11,3.84e-05,2026-09-09T07:54:07.689707
bhojpuri_high,191200,16,7.1949,7.1413,1263.11,3.10e-05,2026-09-09T08:23:27.127315
bhojpuri_high,203150,17,7.1774,7.1276,1245.89,2.34e-05,2026-09-09T08:52:43.888295
bhojpuri_high,215100,18,7.1635,7.1137,1228.66,1.57e-05,2026-09-09T09:22:05.542829
bhojpuri_high,227050,19,7.1519,7.1051,1218.13,7.88e-06,2026-09-09T09:51:21.791647
bhojpuri_high,239000,20,7.1483,7.1033,1215.93,6.12e-21,2026-09-09T10:20:38.564729
bhojpuri_high,250950,21,7.0756,7.001,1097.73,7.91e-05,2026-09-09T17:59:31.748883
bhojpuri_high,262900,22,7.0387,6.9752,1069.81,7.71e-05,2026-09-09T18:28:59.865826
bhojpuri_high,274850,23,7.0128,6.9399,1032.66,7.51e-05,2026-09-09T18:58:28.600133
bhojpuri_high,286800,24,6.986,6.9212,1013.58,7.30e-05,2026-09-09T19:27:57.197852
bhojpuri_high,298750,25,6.9664,6.9036,995.83,7.08e-05,2026-09-09T19:57:25.479910
bhojpuri_high,310700,26,6.9494,6.8832,975.71,6.85e-05,2026-09-09T20:26:55.758719
bhojpuri_high,322650,27,6.9302,6.8644,957.54,6.62e-05,2026-09-09T20:56:24.740712
bhojpuri_high,334600,28,6.9154,6.8483,942.31,6.38e-05,2026-09-09T21:25:54.938131
bhojpuri_high,346550,29,6.9009,6.8284,923.67,6.14e-05,2026-09-09T21:55:24.968155
bhojpuri_high,358500,30,6.8835,6.8144,910.87,5.89e-05,2026-09-09T22:24:55.116787
bhojpuri_high,370450,31,6.8717,6.8008,898.61,5.63e-05,2026-09-09T22:54:25.052026
bhojpuri_high,382400,32,6.8581,6.7866,885.87,5.37e-05,2026-09-09T23:23:56.358754
bhojpuri_high,394350,33,6.8463,6.775,875.67,5.10e-05,2026-09-09T23:53:26.438241
bhojpuri_high,406300,34,6.8362,6.7636,865.74,4.82e-05,2026-09-10T00:22:55.137845
bhojpuri_high,418250,35,6.8262,6.7537,857.2,4.55e-05,2026-09-10T00:52:25.124629
bhojpuri_high,430200,36,6.817,6.7426,847.74,4.26e-05,2026-09-10T01:21:54.117836
bhojpuri_high,442150,37,6.8084,6.7361,842.29,3.98e-05,2026-09-10T01:51:24.076991
bhojpuri_high,454100,38,6.8027,6.7295,836.74,3.69e-05,2026-09-10T02:20:52.672734
bhojpuri_high,466050,39,6.7968,6.7229,831.23,3.39e-05,2026-09-10T02:50:22.955956
bhojpuri_high,478000,40,6.7906,6.717,826.3,3.10e-05,2026-09-10T03:19:53.702972
bhojpuri_high,489950,41,6.786,6.7126,822.67,2.79e-05,2026-09-10T03:49:22.858157
bhojpuri_high,501900,42,6.7823,6.7087,819.54,2.49e-05,2026-09-10T04:18:54.122304
bhojpuri_high,513850,43,6.779,6.7051,816.59,2.19e-05,2026-09-10T04:48:23.796780
bhojpuri_high,525800,44,6.7765,6.7025,814.48,1.88e-05,2026-09-10T05:17:54.547241
